# event_name,# keywords_output,,,,,# tfidf_output,,,,
,,,,,,,,,,
Vianočna večera, vsetkych, skor, potvrdi, pozvany, problem,dopadla, jednicku, mal, organizatormi, dohodli
Firebase - moderní aplikace si žádají moderní databázi, akce, formular, firebase, google, gwny,firebase, formular, akce, google, nejvetsich
Klacelky Florbal Open, turnaj, timov, timy, klacelkach, playoff,timov, timy, turnaj, klacelkach, burdas
3. Stand-Up Comedy Show v Námestove, trosku, jakub, mozno, prekvapenie, listky,mozno, prekvapenie, jakub, lIstky, predaji
6 návrhov pre lepšiu Hornú Oravu , spissky, hrhov, vladom, html, http,vladom, hrhov, proces, namestovo, buducnosti
DataPivo 21.9. 2016, data, datapivo, kiwi, hlinky, brno,datapivo, kiwi, data, datovi, konat
Barcamp Brno 2016, zacatek, tematech, registrace, hlasovani, konani,zacatek, registrace, hlasovani, tematech, konani
Quiz War - začíname!, quiz, ktorej, multiplayer, quizwar, facebook,quiz, war, multiplayer, ktorej, quizwar
16. Filmový festival Fakulty informatiky Masarykovy univerzity, https, faculty, informatics, informatiky, festival,faculty, informatics, festival, movies, university
Den s průmyslovými partnery FI středa 11. 5. 2016, firem, technologies, studenty, prezentace, budova,firem, technologies, budova, prezentace, poslucharnami
Klacelky Florbal Open, cast, klacelky, skupiny, vstupne, rozpis,uskutocni, turnajom, zmenit, rozpis, klacelky
Andrej Kiska ml. - Češi vs. Slováci, jake, spoluzakladatelem, hodny, mistnost, starlift,jake, doraz, setkani, hostem, perfektni
Vyrob si svůj Arkanoid za 30 minut, vyvojari, herni, unity, kterych, rychle,vyvojari, herni, unity, jakymi, technologiemi
Foťák & Vrozík Birthday Party, tesnohlidkovej, narodeniny, alias, vsetkych, krasnym,alias, narodeniny, tesnohlidkovej, konecne, nadisiel
Lifehack aneb usnadni si život, sbalit, roku, zenu, brne, diky,sbalit, zenu, brne, uspech, roku
Rozlúčka s odpadlíkom!, urcite, zialbohu, trejd, talent, hokejovy,urcite, zialbohu, chvalabohu, hokejovy, talent
Vianočna večera, pytam, malo, dost, punc, chlapci,malo, pytam, caute, chlapci, dievcata
Klácelky Floorball Open, stredy, cast, dost, play, florbal,stredy, jediny, uskutocni, format, play
Více Masaryků do světa, svete, zahranicni, jako, vyznamnych, prijd,svete, zahranicni, seznamte, moznostmi, studia
Noc vědců na Masarykově univerzitě, vedcu, experimentatory, vyzkumnych, vsechny, byste,noc, prozijte, trochu, celoevropsky, vedy
Už som starý cap (Pyžamková párty), nikdy, party, dostal, navrhujem, nocnom,rokom, zisiel, prichadza, rokov, mojej
Jak vydělávat na mobilních aplikacích, google, tappytaps, anglicky, analytics, prednasku,google, prednasku, analytics, tappytaps, mobile
Ruka hore košuľa vonka :D a.k.a b-day party, party, stredu, kedze, treba, pukance,pukance, stredu, party, treba, kakauka
Klácelky Florbal Open 2015, zapasy, timov, znova, timy, trofej,zapasy, znova, trofej, timov, zabojuje
